"ShipmentId","ProductId","OrderNumber","WarehouseFrom","WarehouseTo","UnitsShipped","Carrier","TrackingNumber","ShipDate","EstimatedArrival","DeliveryStatus"
"SHP-00049","P-00019","ORD-66722","WH-NY","WH-NY","70","FedEx","TRK66674793","2026-04-19","2026-04-25","In Transit"
"SHP-00050","P-00065","ORD-37622","WH-IL","WH-NY","204","Local Freight","TRK57823496","2026-07-20","2026-07-26","Delivered"
"SHP-00051","P-00067","ORD-46131","WH-NY","WH-CA","218","DHL","TRK41400587","2026-03-15","2026-03-23","Exception"
"SHP-00052","P-00046","ORD-37580","WH-NY","WH-CA","104","FedEx","TRK79185216","2026-04-22","2026-04-27","Delivered"
"SHP-00053","P-00107","ORD-26772","WH-TX","WH-IL","141","UPS","TRK95541267","2026-05-03","2026-05-11","Delivered"
"SHP-00054","P-00083","ORD-29739","WH-NY","WH-TX","23","DHL","TRK53636639","2026-03-12","2026-03-15","Delivered"
"SHP-00055","P-00118","ORD-76866","WH-IL","WH-IL","179","FedEx","TRK16000068","2026-04-27","2026-04-29","Exception"
"SHP-00056","P-00023","ORD-94664","WH-TX","WH-CA","211","FedEx","TRK98047376","2026-04-10","2026-04-13","Delivered"
"SHP-00057","P-00097","ORD-48788","WH-IL","WH-IL","213","UPS","TRK35247507","2026-03-17","2026-03-24","Exception"
"SHP-00058","P-00096","ORD-54772","WH-CA","WH-CA","139","UPS","TRK29150125","2026-04-01","2026-04-06","Delivered"
"SHP-00059","P-00016","ORD-77464","WH-TX","WH-TX","143","DHL","TRK80086404","2026-05-31","2026-06-04","In Transit"
"SHP-00060","P-00097","ORD-28765","WH-NY","WH-NY","181","USPS","TRK96236306","2026-03-26","2026-03-27","Pending"
"SHP-00061","P-00117","ORD-32833","WH-CA","WH-IL","203","DHL","TRK44084947","2026-04-13","2026-04-20","Pending"
"SHP-00062","P-00017","ORD-48452","WH-NY","WH-CA","149","UPS","TRK21494599","2026-03-06","2026-03-09","In Transit"
"SHP-00063","P-00046","ORD-83583","WH-TX","WH-IL","210","USPS","TRK39404539","2026-07-05","2026-07-08","Pending"
"SHP-00064","P-00019","ORD-23791","WH-CA","WH-TX","110","Local Freight","TRK17690062","2026-07-30","2026-08-03","In Transit"
"SHP-00065","P-00043","ORD-97327","WH-CA","WH-CA","137","FedEx","TRK98851649","2026-02-12","2026-02-16","Exception"
"SHP-00066","P-00048","ORD-63209","WH-IL","WH-CA","66","UPS","TRK91579069","2026-03-17","2026-03-25","Pending"
"SHP-00067","P-00045","ORD-13850","WH-NY","WH-IL","155","Local Freight","TRK80194707","2026-06-12","2026-06-19","Delivered"
"SHP-00068","P-00118","ORD-74209","WH-IL","WH-TX","201","FedEx","TRK35803381","2026-03-16","2026-03-22","Delivered"
"SHP-00069","P-00071","ORD-84450","WH-IL","WH-NY","164","USPS","TRK42327182","2026-04-24","2026-05-02","Delivered"
"SHP-00070","P-00121","ORD-28203","WH-TX","WH-NY","135","FedEx","TRK97165960","2026-06-09","2026-06-15","Pending"
"SHP-00071","P-00071","ORD-23793","WH-TX","WH-CA","191","DHL","TRK74736270","2026-04-18","2026-04-22","Exception"
"SHP-00072","P-00104","ORD-25274","WH-CA","WH-TX","177","USPS","TRK32910553","2026-02-25","2026-03-05","Delivered"
"SHP-00073","P-00078","ORD-80507","WH-CA","WH-IL","185","DHL","TRK31010415","2026-07-26","2026-08-01","Exception"
"SHP-00074","P-00054","ORD-60640","WH-IL","WH-CA","11","USPS","TRK55090632","2026-04-22","2026-04-23","Delivered"
"SHP-00075","P-00105","ORD-87707","WH-TX","WH-NY","123","DHL","TRK53091568","2026-08-08","2026-08-10","In Transit"
"SHP-00076","P-00005","ORD-97241","WH-CA","WH-IL","4","DHL","TRK46564951","2026-08-07","2026-08-12","Pending"
"SHP-00077","P-00054","ORD-97518","WH-IL","WH-NY","104","FedEx","TRK40305453","2026-07-29","2026-07-31","In Transit"
"SHP-00078","P-00004","ORD-28562","WH-IL","WH-IL","69","DHL","TRK56935627","2026-06-07","2026-06-12","Delivered"
"SHP-00079","P-00032","ORD-16898","WH-TX","WH-CA","128","USPS","TRK90867029","2026-08-15","2026-08-16","Exception"
"SHP-00080","P-00001","ORD-96719","WH-NY","WH-NY","143","Local Freight","TRK14809639","2026-07-02","2026-07-04","Exception"
"SHP-00081","P-00058","ORD-34740","WH-IL","WH-IL","13","Local Freight","TRK19453371","2026-06-27","2026-07-03","In Transit"
"SHP-00082","P-00033","ORD-85881","WH-TX","WH-IL","193","FedEx","TRK59166588","2026-07-04","2026-07-06","Exception"
"SHP-00083","P-00046","ORD-33191","WH-CA","WH-NY","85","UPS","TRK14869338","2026-08-21","2026-08-28","In Transit"
"SHP-00084","P-00089","ORD-43476","WH-IL","WH-IL","130","Local Freight","TRK27612389","2026-05-27","2026-05-31","Exception"
"SHP-00085","P-00045","ORD-29072","WH-CA","WH-NY","2","UPS","TRK69154823","2026-03-28","2026-03-31","Delivered"
"SHP-00086","P-00040","ORD-85972","WH-CA","WH-CA","204","UPS","TRK61514693","2026-06-26","2026-07-03","Exception"
"SHP-00087","P-00098","ORD-31746","WH-TX","WH-IL","122","Local Freight","TRK99041436","2026-02-06","2026-02-09","In Transit"
"SHP-00088","P-00020","ORD-14394","WH-CA","WH-IL","145","UPS","TRK65854276","2026-02-26","2026-03-02","Delivered"
"SHP-00089","P-00051","ORD-77387","WH-CA","WH-NY","28","Local Freight","TRK77675984","2026-07-11","2026-07-13","Delivered"
"SHP-00090","P-00051","ORD-39116","WH-IL","WH-CA","213","UPS","TRK86660106","2026-06-07","2026-06-13","Exception"
"SHP-00091","P-00022","ORD-35986","WH-NY","WH-NY","31","FedEx","TRK25919709","2026-07-31","2026-08-07","Delivered"
"SHP-00092","P-00073","ORD-20044","WH-IL","WH-TX","130","UPS","TRK55025730","2026-03-23","2026-03-26","Pending"
"SHP-00093","P-00017","ORD-84672","WH-TX","WH-IL","108","Local Freight","TRK18466853","2026-04-08","2026-04-09","Pending"
"SHP-00094","P-00038","ORD-98094","WH-IL","WH-IL","11","UPS","TRK72862136","2026-05-07","2026-05-12","Pending"
"SHP-00095","P-00086","ORD-92060","WH-NY","WH-NY","178","FedEx","TRK50665760","2026-03-06","2026-03-12","Pending"
"SHP-00096","P-00077","ORD-56944","WH-IL","WH-IL","217","FedEx","TRK93717979","2026-02-17","2026-02-19","Exception"
