"SalesOrderId","OrderDate","CustomerId","ProductId","Quantity","UnitPrice","DiscountPct","NetAmount","SalesRep","Region","Fulfillment"
"SO-000069","2025-09-24","CU-00100","P-00035","14","282.75","0.09","3626.14","Rep-04","South","Pending"
"SO-000070","2026-01-17","CU-00484","P-00106","10","251.08","0.04","2279.82","Rep-05","West","Partial"
"SO-000071","2025-11-22","CU-02769","P-00037","24","398.6","0.18","7924.94","Rep-04","West","Shipped"
"SO-000072","2025-11-19","CU-02849","P-00067","9","183.04","0.07","1403.47","Rep-02","South","Partial"
"SO-000073","2026-02-18","CU-00123","P-00066","21","338.68","0.12","6615.23","Rep-05","Northeast","Pending"
"SO-000074","2026-04-28","CU-00387","P-00110","13","137.94","0.16","1522.01","Rep-06","South","Pending"
"SO-000075","2026-02-20","CU-02063","P-00117","11","395.46","0.01","3754.73","Rep-04","South","Partial"
"SO-000076","2026-07-25","CU-01611","P-00090","9","156.16","0.06","1319.58","Rep-05","Midwest","Cancelled"
"SO-000077","2025-12-08","CU-02125","P-00066","11","133.56","0.02","1456.48","Rep-04","West","Cancelled"
"SO-000078","2026-03-12","CU-00824","P-00028","12","387.76","0.22","4477.36","Rep-05","West","Pending"
"SO-000079","2026-08-01","CU-01106","P-00122","19","346.81","0.05","6365.91","Rep-05","Midwest","Partial"
"SO-000080","2026-01-18","CU-02969","P-00005","9","71.82","0.04","630.87","Rep-05","West","Cancelled"
"SO-000081","2026-01-25","CU-02409","P-00010","24","71.24","0.11","1445.37","Rep-05","Midwest","Partial"
"SO-000082","2026-01-14","CU-02715","P-00123","2","246.32","0.15","474.94","Rep-03","South","Pending"
"SO-000083","2026-06-05","CU-01386","P-00057","22","131.77","0.08","2778.83","Rep-03","West","Shipped"
"SO-000084","2025-12-25","CU-00756","P-00063","21","198.93","0.14","4058.32","Rep-02","Midwest","Pending"
"SO-000085","2026-03-05","CU-02073","P-00070","9","185.13","0.19","1510.87","Rep-05","West","Pending"
"SO-000086","2026-08-01","CU-02527","P-00121","24","370.34","0.16","7442.6","Rep-01","Midwest","Partial"
"SO-000087","2026-01-27","CU-00829","P-00108","7","192.41","0.14","1141.16","Rep-03","Midwest","Pending"
"SO-000088","2026-08-07","CU-00861","P-00121","13","437.46","0.11","4880.08","Rep-04","Northeast","Partial"
"SO-000089","2026-03-13","CU-02663","P-00008","20","256.71","0.02","4815.27","Rep-05","Midwest","Cancelled"
"SO-000090","2025-09-27","CU-01692","P-00021","18","33.71","0.21","518.87","Rep-02","Northeast","Cancelled"
"SO-000091","2026-05-11","CU-02068","P-00103","1","87.6","0.01","75.9","Rep-05","Northeast","Pending"
"SO-000092","2026-06-10","CU-02286","P-00114","23","183","0.17","3494.59","Rep-05","West","Cancelled"
"SO-000093","2026-08-01","CU-01889","P-00072","8","26.52","0.11","210.97","Rep-03","West","Shipped"
"SO-000094","2025-12-11","CU-00018","P-00073","18","282.02","0.15","4850.68","Rep-05","West","Shipped"
"SO-000095","2025-09-13","CU-02539","P-00105","8","270.75","0.08","1840.84","Rep-01","South","Pending"
"SO-000096","2025-09-01","CU-00101","P-00075","1","68.78","0.22","67.59","Rep-04","West","Pending"
"SO-000097","2025-12-30","CU-02606","P-00092","1","131.13","0.08","115.3","Rep-02","West","Shipped"
"SO-000098","2026-01-11","CU-00582","P-00059","13","96.52","0.16","1236.77","Rep-02","Northeast","Shipped"
"SO-000099","2025-10-26","CU-02156","P-00125","16","413.6","0.13","5886.99","Rep-05","Midwest","Partial"
"SO-000100","2025-12-31","CU-02205","P-00002","14","278.95","0.02","3260.1","Rep-01","West","Pending"
"SO-000101","2025-09-07","CU-01228","P-00113","17","299.51","0.18","4631.79","Rep-05","South","Cancelled"
"SO-000102","2025-10-13","CU-02739","P-00085","22","410.21","0.03","8326.06","Rep-06","Northeast","Shipped"
"SO-000103","2025-11-07","CU-01757","P-00086","18","15.67","0.2","254.99","Rep-06","West","Pending"
"SO-000104","2026-07-17","CU-00938","P-00063","20","16.08","0","268.24","Rep-03","Northeast","Shipped"
"SO-000105","2026-07-18","CU-01626","P-00087","3","387.21","0.15","1010.35","Rep-05","West","Cancelled"
"SO-000106","2026-06-12","CU-02903","P-00094","16","458.7","0.15","6233.94","Rep-03","South","Cancelled"
"SO-000107","2026-01-16","CU-00509","P-00006","8","293.67","0.2","2023.01","Rep-04","Midwest","Partial"
"SO-000108","2026-07-14","CU-02142","P-00007","5","20.07","0.2","84.11","Rep-02","Northeast","Cancelled"
"SO-000109","2025-10-27","CU-00882","P-00095","5","374.27","0.18","1601.92","Rep-01","South","Cancelled"
"SO-000110","2025-12-15","CU-02503","P-00108","5","259.6","0.1","1245.89","Rep-06","Midwest","Cancelled"
"SO-000111","2026-05-01","CU-01198","P-00086","22","92.81","0.14","1721.68","Rep-03","Northeast","Cancelled"
"SO-000112","2026-03-01","CU-02203","P-00099","20","277.38","0.11","4755.41","Rep-02","Midwest","Shipped"
"SO-000113","2025-08-29","CU-01871","P-00060","3","299.81","0.14","847.49","Rep-02","Northeast","Partial"
"SO-000114","2025-11-21","CU-00321","P-00010","17","449.82","0.01","6985.3","Rep-03","South","Shipped"
"SO-000115","2026-06-03","CU-02153","P-00124","24","155.11","0.13","3682.35","Rep-06","West","Pending"
"SO-000116","2026-02-15","CU-00843","P-00086","17","425.79","0.06","6998.83","Rep-05","Northeast","Shipped"
"SO-000117","2026-01-05","CU-00982","P-00021","8","280.83","0.18","1913","Rep-03","South","Cancelled"
"SO-000118","2025-12-11","CU-00848","P-00032","1","180.01","0.17","166.83","Rep-02","South","Cancelled"
"SO-000119","2026-06-01","CU-01483","P-00114","15","179.22","0.17","2472.69","Rep-03","Midwest","Cancelled"
"SO-000120","2026-02-23","CU-01737","P-00103","21","369.07","0.08","6807.23","Rep-06","South","Shipped"
"SO-000121","2026-05-07","CU-00854","P-00043","19","322.6","0.07","5897.54","Rep-02","West","Cancelled"
"SO-000122","2026-08-03","CU-00169","P-00054","22","425.65","0.21","8760.01","Rep-01","Midwest","Pending"
"SO-000123","2025-09-10","CU-02582","P-00116","10","171.51","0.05","1447.45","Rep-01","Midwest","Cancelled"
"SO-000124","2025-12-07","CU-01448","P-00012","3","243.58","0.2","722.14","Rep-06","West","Partial"
"SO-000125","2026-03-13","CU-01584","P-00115","14","108.42","0.2","1319.14","Rep-03","West","Cancelled"
"SO-000126","2026-03-02","CU-00506","P-00095","1","255.83","0.09","222.28","Rep-03","Midwest","Shipped"
"SO-000127","2025-11-14","CU-00428","P-00098","11","53.93","0.08","571.99","Rep-04","Northeast","Partial"
"SO-000128","2025-08-30","CU-02457","P-00104","22","199.89","0.04","3687.38","Rep-03","Northeast","Cancelled"
"SO-000129","2025-09-03","CU-01744","P-00110","13","205.59","0.13","2659.4","Rep-04","South","Partial"
"SO-000130","2026-01-22","CU-00158","P-00020","5","296.96","0.1","1369.78","Rep-02","South","Partial"
"SO-000131","2026-03-02","CU-01898","P-00001","18","82.78","0.13","1342.39","Rep-04","Midwest","Partial"
"SO-000132","2026-02-24","CU-01087","P-00075","13","150.82","0","1921.29","Rep-02","Midwest","Shipped"
"SO-000133","2025-10-17","CU-00892","P-00042","9","309.23","0.06","2370.62","Rep-06","South","Pending"
"SO-000134","2025-12-20","CU-01167","P-00034","19","280.06","0.08","4418.5","Rep-03","South","Pending"
"SO-000135","2026-06-11","CU-00443","P-00017","1","179.88","0.19","175.72","Rep-02","Midwest","Shipped"
"SO-000136","2026-08-10","CU-01655","P-00027","9","120.44","0.02","1026.07","Rep-02","Midwest","Cancelled"
"SO-000137","2025-08-25","CU-02960","P-00103","19","293.21","0.21","4944.45","Rep-01","West","Shipped"
"SO-000138","2026-01-11","CU-02991","P-00022","2","361.22","0.21","664.01","Rep-05","West","Pending"
"SO-000139","2026-03-03","CU-01576","P-00124","3","284.09","0.11","767.83","Rep-01","West","Shipped"
"SO-000140","2026-08-10","CU-02480","P-00062","2","356.37","0.09","665.53","Rep-02","Midwest","Shipped"
"SO-000141","2026-07-07","CU-00643","P-00008","7","23.81","0.13","148.16","Rep-01","Midwest","Shipped"
"SO-000142","2026-08-17","CU-02569","P-00079","15","280.63","0.04","4102.38","Rep-03","Northeast","Pending"
"SO-000143","2025-09-18","CU-02686","P-00023","10","239.81","0.07","2083.07","Rep-05","South","Cancelled"
"SO-000144","2026-04-08","CU-02920","P-00024","15","119.25","0.02","1639.2","Rep-02","Midwest","Pending"
"SO-000145","2025-11-27","CU-02818","P-00072","22","244.03","0.1","4654.66","Rep-02","West","Pending"
"SO-000146","2026-06-05","CU-00075","P-00100","7","417.72","0.17","2877.83","Rep-02","West","Partial"
"SO-000147","2026-02-09","CU-01880","P-00079","21","386.96","0.09","7818.86","Rep-01","South","Partial"
"SO-000148","2026-08-22","CU-01795","P-00050","18","410.45","0.19","6380.24","Rep-06","Midwest","Partial"
"SO-000149","2026-01-20","CU-00559","P-00061","14","261.01","0.16","3647.68","Rep-03","West","Pending"
"SO-000150","2026-06-02","CU-02168","P-00067","1","116.84","0.02","96.45","Rep-01","Midwest","Shipped"
"SO-000151","2026-02-18","CU-02007","P-00076","7","326.66","0.09","1921.59","Rep-04","South","Cancelled"
"SO-000152","2025-09-25","CU-00962","P-00021","1","57.97","0.07","55.54","Rep-03","West","Cancelled"
"SO-000153","2025-10-11","CU-00726","P-00065","10","399.56","0.11","3528.78","Rep-02","West","Pending"
"SO-000154","2025-12-18","CU-00432","P-00057","22","304.29","0.2","6654.65","Rep-06","South","Shipped"
"SO-000155","2025-12-01","CU-00781","P-00054","20","188.87","0.2","3565.67","Rep-06","South","Shipped"
"SO-000156","2025-09-03","CU-01160","P-00100","21","292.34","0.09","5231.39","Rep-02","West","Shipped"
"SO-000157","2026-02-01","CU-00910","P-00001","18","285.65","0.08","4761.54","Rep-05","Northeast","Pending"
"SO-000158","2025-11-17","CU-00135","P-00013","7","153.56","0.22","1050.75","Rep-04","Northeast","Partial"
"SO-000159","2025-12-03","CU-02543","P-00060","5","347.94","0.07","1530.53","Rep-02","Midwest","Shipped"
"SO-000160","2025-11-17","CU-01417","P-00045","2","357.55","0.05","608.59","Rep-03","Midwest","Shipped"
"SO-000161","2026-08-09","CU-00851","P-00117","13","258.22","0.12","2844.48","Rep-06","Midwest","Cancelled"
"SO-000162","2026-03-11","CU-01684","P-00117","7","109.75","0","647.15","Rep-05","Northeast","Partial"
"SO-000163","2026-03-23","CU-02454","P-00027","17","65.74","0.12","1009.23","Rep-02","South","Cancelled"
"SO-000164","2026-04-18","CU-02248","P-00011","5","329.31","0.14","1439.75","Rep-03","Northeast","Cancelled"
"SO-000165","2026-08-22","CU-01644","P-00097","11","347.08","0.19","3607.82","Rep-02","South","Pending"
"SO-000166","2026-01-17","CU-01666","P-00048","9","67.27","0.09","592.66","Rep-02","West","Pending"
"SO-000167","2026-05-30","CU-01247","P-00079","24","263.33","0.13","5343.09","Rep-05","Midwest","Pending"
"SO-000168","2025-11-07","CU-02639","P-00032","8","210.08","0.21","1648.98","Rep-06","West","Pending"
"SO-000169","2025-11-20","CU-01025","P-00066","6","163.78","0.01","965.73","Rep-05","Midwest","Partial"
"SO-000170","2026-04-12","CU-01514","P-00119","13","228.27","0.2","2700.47","Rep-04","Northeast","Shipped"
"SO-000171","2025-11-30","CU-00712","P-00006","24","284.73","0.2","6440.36","Rep-05","Midwest","Pending"
"SO-000172","2026-06-22","CU-02149","P-00025","7","123.82","0.15","743.15","Rep-06","Northeast","Partial"
"SO-000173","2026-04-25","CU-02354","P-00098","12","42.95","0.18","509.47","Rep-02","Northeast","Pending"
"SO-000174","2025-09-09","CU-02581","P-00046","11","245.56","0.14","2410.43","Rep-04","Midwest","Partial"
"SO-000175","2026-02-25","CU-02850","P-00050","18","182.89","0.06","3114.84","Rep-04","Midwest","Pending"
"SO-000176","2025-12-11","CU-01019","P-00088","3","286.56","0.21","818.46","Rep-06","Midwest","Shipped"
"SO-000177","2025-11-09","CU-02833","P-00122","21","27.48","0.17","547.61","Rep-02","Midwest","Partial"
"SO-000178","2026-01-17","CU-00825","P-00106","2","136.46","0.02","245.09","Rep-03","Midwest","Partial"
"SO-000179","2025-09-01","CU-01956","P-00032","13","199.92","0.19","2220.64","Rep-04","West","Pending"
"SO-000180","2026-08-01","CU-00243","P-00096","9","307.53","0.16","2477.24","Rep-04","Northeast","Partial"
